組織,案件名,URL,階層
県|香川県,令和8年度香川県外国人介護人材受入支援事業審査等業務委託契約に係る公募について（公告）,https://www.pref.kagawa.lg.jp/choju/choju/jigyosya/kobor8.html,L1
県|香川県,（公募）淡水漁業種苗センター跡地除草業務（契約の締結前情報）,https://www.pref.kagawa.lg.jp/suisan/sogo/soumukoubo_080612.html,L1
県|香川県,（公募）淡水漁業種苗センター跡地除草業務（発注見通し）,https://www.pref.kagawa.lg.jp/suisan/sogo/soumukoubo_0806.html,L1
県|香川県,香川県情報セキュリティクラウドサービスの提供等業務の調達に係る一般競争入札について,https://www.pref.kagawa.lg.jp/joho/20260605.html,L1
県|香川県,県税賦課徴収・調査に関する事務の「特定個人情報保護評価書（全項目評価書）（案）」についてパブリック・コメント（意見公募）を実施します（お知らせ）,https://www.pref.kagawa.lg.jp/zeimu/sogo/topics/r8pia_public_comment_houdouhappyou.html,L1
県|香川県,令和8年度介護職員処遇改善加算等の取得促進支援事業委託契約に係る公募について,https://www.pref.kagawa.lg.jp/choju/choju/jigyosya/08shogukaizenshutokushien.html,L1
県|香川県,香川県基幹系情報システム（電子申請・届出システム）更改及び運用・保守業務に係る仕様書（案）に対する意見等の招請について,https://www.pref.kagawa.lg.jp/digital/denshishinsei.html,L1
県|香川県,香川県基幹系情報システム（公共施設予約決済システム）更改及び運用・保守業務に係る仕様書（案）に対する意見等の招請について,https://www.pref.kagawa.lg.jp/digital/20260518_shisetsuyoyaku.html,L1
県|香川県,粟島海洋記念公園海洋記念館本館改修工事監理業務（R8）の契約締結について,https://www.pref.kagawa.lg.jp/kouryu/park/260401awasimasekoukanri.html,L1
県|香川県,意思疎通支援事業委託契約に係る公募について,https://www.pref.kagawa.lg.jp/shogaifukushi/kenri_yogo/ishisotsukobo.html,L1
県|香川県,令和8年度香川県立屋島少年自然の家屋外清掃（草刈・剪定等）委託業務について（契約締結後情報）,https://www.pref.kagawa.lg.jp/yashimashonen/yasho/2026_okugaiseisou3.html,L1
県|香川県,令和8年度香川県立屋島少年自然の家屋外清掃（草刈・剪定等）委託業務について,https://www.pref.kagawa.lg.jp/yashimashonen/2026_okugaiseisou.html,L1
県|香川県,令和8年度満濃池森林公園松くい虫防除事業（特別伐倒駆除等）業務,https://www.pref.kagawa.lg.jp/rinsei/hogo/nyusatu/r8_mannouike_tokubatsutou.html,L1
県|香川県,本島の屋内作品の定期公開およびボランティアサポーター募集について,https://www.pref.kagawa.lg.jp/setouchi/20260410pr.html,L1
県|香川県,第12次香川県交通安全計画（案）のパブリック・コメント（意見公募）実施結果,https://www.pref.kagawa.lg.jp/kurashi/kotu-anzen/12zikeikaku.html,L1
県|香川県,令和7年度介護分野の職員の賃上げ・職場環境改善支援事業審査等業務委託契約に係る公募について,https://www.pref.kagawa.lg.jp/choju/choju/jigyosya/07koubo_kaigobunya.html,L1
県|香川県,香川県立農業大学校令和8年度学生健康診断業務に係る公募について,https://www.pref.kagawa.lg.jp/nodai/080302.html,L1
県|香川県,令和8年度全天候型常温合材単価契約に係る一般競争入札について,https://www.pref.kagawa.lg.jp/chusandoboku/r8jouongouzai.html,L1
県|香川県,令和8年度河川管理施設安全確保事業西汐入川水門外24箇所保守点検業務委託に係る一般競争入札について,https://www.pref.kagawa.lg.jp/chusandoboku/nishishioiri.html,L1
県|香川県,令和8年度河川管理施設安全確保事業綾川新開潮止堰外21箇所保守点検業務委託に係る一般競争入札について,https://www.pref.kagawa.lg.jp/chusandoboku/ayagawashingai.html,L1
県|香川県,令和8年度県道丸亀詫間豊浜線（白方トンネル）防災設備点検整備業務に係る一般競争入札について,https://www.pref.kagawa.lg.jp/chusandoboku/shirakata.html,L1
県|香川県,令和8年度国道438号（三頭トンネル）防災設備点検整備業務に係る一般競争入札について,https://www.pref.kagawa.lg.jp/chusandoboku/santou.html,L1
県|香川県,令和8年度県道高松坂出線（五色台トンネル（下り線））防災設備点検整備業務に係る一般競争入札について,https://www.pref.kagawa.lg.jp/chusandoboku/goshikidaikudari.html,L1
県|香川県,"令和8年度長柄ダム・田万ダム,ダム管理設備等保守点検業務に係る一般競争入札について",https://www.pref.kagawa.lg.jp/chusandoboku/damukannri8.html,L1
県|香川県,令和8年度県道高松坂出線（五色台トンネル（上り線））防災設備点検整備業務委託に係る一般競争入札,https://www.pref.kagawa.lg.jp/chusandoboku/chusandoboku/goshikinobori.html,L1
県|香川県,令和8年度長柄ダム・田万ダム放流設備保守点検業務に係る一般競争入札について,https://www.pref.kagawa.lg.jp/chusandoboku/houryu8.html,L1
県|香川県,令和8年度香川県坂出合同庁舎及び綾歌職員寮清掃業務に係る一般競争入札について,https://www.pref.kagawa.lg.jp/chusandoboku/seisou8.html,L1
県|香川県,令和8年度香川県坂出合同庁舎建築物環境衛生管理業務に係る一般競争入札について,https://www.pref.kagawa.lg.jp/chusandoboku/kannkyoueisei8.html,L1
県|香川県,令和8年度香川県坂出合同庁舎非常用電源設備及び自家発電設備保守点検業務に係る一般競争入札について,https://www.pref.kagawa.lg.jp/chusandoboku/jikahatu8.html,L1
県|香川県,令和8年度香川県坂出合同庁舎空調設備用自動制御機器及び中央監視装置保守点検業務に係る一般競争入札について,https://www.pref.kagawa.lg.jp/chusandoboku/cyuuoukansi8.html,L1
県|香川県,令和8年度香川県坂出合同庁舎吸収式冷温水発生機保守点検業務に係る一般競争入札について,https://www.pref.kagawa.lg.jp/chusandoboku/reionsui8.html,L1
県|香川県,令和8年度香川県坂出合同庁舎汚水処理施設及び再利用水処理施設保守点検清掃業務に係る一般競争入札について,https://www.pref.kagawa.lg.jp/chusandoboku/osui8.html,L1
県|香川県,令和8年度香川県立保健医療大学学生健康診断業務に係る一般競争入札の実施について,https://www.pref.kagawa.lg.jp/hokeniryodaigaku/260303kenkoushindan.html,L1
県|香川県,香川県立屋島少年自然の家野外炊事食品提供業務の一般競争入札について,https://www.pref.kagawa.lg.jp/yashimashonen/2025_yasui2.html,L1
県|香川県,香川県立屋島少年自然の家パン提供業務の一般競争入札について,https://www.pref.kagawa.lg.jp/yashimashonen/2026_yasui.html,L1
県|香川県,香川県立屋島少年自然の家汁物等提供委託業務の一般競争入札について,https://www.pref.kagawa.lg.jp/yashimashonen/2026_soup.html,L1
県|香川県,Microsoft 365 ライセンス一式の調達について,https://www.pref.kagawa.lg.jp/joho/20260210.html,L1
県|香川県,粟島海洋記念公園海洋記念館本館改修工事監理業務（R7その2）の契約締結について,https://www.pref.kagawa.lg.jp/kouryu/park/251029awasimasekoukanri.html,L1
県|香川県,会計年度職員の募集,https://www.pref.kagawa.lg.jp/kotogijutsu/nyuusatu/syokuinbosyuu.html,L1
県|香川県,屋島少年自然の家主催事業 親子でデイキャンプインスプリング参加募集について,https://www.pref.kagawa.lg.jp/yashimashonen/yasho/syusai/oyakodedaycampinspring.html,L1
県|香川県,令和7年度国有農地等維持管理業務について（契約締結後情報）,https://www.pref.kagawa.lg.jp/noukei16300/kokuyunochi/20260107.html,L1
県|香川県,粟島海洋記念公園海洋記念館本館改修工事監理業務（R7）の契約締結について,https://www.pref.kagawa.lg.jp/kouryu/park/2025awasimasekoukanri.html,L1
県|香川県,香川県立中央病院2026年海外電子ジャーナルの購読契約に係る一般競争入札について,https://www.pref.kagawa.lg.jp/chuobyoin/chuobyoin/20251104gyoumuka01.html,L1
県|香川県,情報通信交流館ソフトウェア一式の購入に係る一般競争入札について,https://www.pref.kagawa.lg.jp/digital/2025_09_10_software.html,L1
県|香川県,瀬戸内少女歌劇団 小中学生の出演者募集について,https://www.pref.kagawa.lg.jp/setouchi/20250901pr_1.html,L1
県|香川県,香川大学医学部周辺用地環境美化業務委託について（契約締結後情報）,https://www.pref.kagawa.lg.jp/imu/soumuiji/r7keiyakuteiketugo.html,L1
県|香川県,地域活力向上のための市町等総合交付金二次募集の採択結果について,https://www.pref.kagawa.lg.jp/chiiki/hojokin/sogokofukinsaitaku2.html,L1
県|香川県,ひびのこづえ×五十嵐ゆうや×小野龍一 「Come and Go in 伊吹島」出演者大募集！！,https://www.pref.kagawa.lg.jp/setouchi/20250522pr-2.html,L1
県|香川県,香川の伝統的工芸品等の魅力発信ウェブサイト構築及び運用・保守業務に係る企画提案方式（プロポーザル方式）による公募について,https://www.pref.kagawa.lg.jp/keiei/jibasangyo/dentoupropo.html,L1
県|香川県,淡水漁業種苗センター跡地除草業務について（発注見通し）,https://www.pref.kagawa.lg.jp/suisan/sogo/soumukoubo_0705.html,L1
県|香川県,「スーパー讃岐っ子育成事業」令和7年度スーパー讃岐っ子の参加者を募集します！,https://www.pref.kagawa.lg.jp/kenkyoui/hokentaiiku/sports/sanukikkoboshuu.html,L1
県|香川県,―瀬戸内国際芸術祭若手芸術家育成プログラム－ 「令和７年度 瀬戸内アート塾」(6/20～29)塾生募集のお知らせ,https://www.pref.kagawa.lg.jp/setouchi/20250507pr.html,L1
県|香川県,令和7年度香川県立屋島少年自然の家屋外清掃（草刈・剪定等）委託業務について（契約締結前情報）,https://www.pref.kagawa.lg.jp/yashimashonen/yasho/2025_okugaiseisou.html,L1
県|香川県,瀬戸内国際芸術祭2025県内連携事業「くるりアートかがわ」事業開始及び対象イベントの追加公募について,https://www.pref.kagawa.lg.jp/setouchi/20250410pr.html,L1
