案件名,最初の関門,期限,時刻,可否,URL
GREEN×EXPO 2027 会場内学習プログラム開発及び運営業務委託の公募型プロポーザルについて,参加意向申出書締切,2026-09-11,午後５時,応募可,https://expo2027yokohama.or.jp/contract/detail/20260904-001376.html
【更新】【最優秀提案事業者決定】２０２７年国際園芸博覧会 国際出展タイプ１（International Garden Type） 展示施工及び運営業務委託の公募型プロポーザルについて,参加意向申出書締切,2026-06-04,正午（必着）,応募不可（期限超過）,https://expo2027yokohama.or.jp/contract/detail/20260901-001077.html
GREEN×EXPO 2027メディアセンター関連業務委託の公募型プロポーザルについて,参加意向申出書締切,2026-09-03,午前12時まで,応募不可（期限超過）,https://expo2027yokohama.or.jp/contract/detail/20260828-001324.html
２０２７年国際園芸博覧会 主催者催事「おまつり歳時記プロジェクト（仮）」にかかる実施計画作成業務委託の公募型プロポーザルについて,参加意向申出書締切,2026-09-07,17時まで,応募不可（期限超過）,https://expo2027yokohama.or.jp/contract/detail/20260827-001348.html
2027年国際園芸博覧会 損害保険付保公募について,参加意向申出書締切,2026-09-02,,応募不可（期限超過）,https://expo2027yokohama.or.jp/contract/detail/20260825-001336.html
２０２７年国際園芸博覧会 公式ガイドブック企画・編集・制作および出版業務委託の公募型プロポーザルについて,参加意向申出書締切,2026-09-04,午後５時,応募不可（期限超過）,https://expo2027yokohama.or.jp/contract/detail/20260824-001335.html
2026年度「公益社団法人２０２７年国際園芸博覧会協会」が主催する「テーマフォーラム」の企画・実施運営・情報発信等に係る業務委託の公募型プロポーザルについて,参加意向申出書締切,2026-08-19,17時まで,応募不可（期限超過）,https://expo2027yokohama.or.jp/contract/detail/20260807-001304.html
２０２７年国際園芸博覧会 医療救護施設運営業務委託の公募型プロポーザルについて,参加意向申出書締切,2026-08-10,正午,応募不可（期限超過）,https://expo2027yokohama.or.jp/contract/detail/20260803-001295.html
２０２７年国際園芸博覧会クラフト館西側スペース管理・運営室運営業務委託の公募型プロポーザルについて,参加意向申出書締切,2026-08-10,午後５時,応募不可（期限超過）,https://expo2027yokohama.or.jp/contract/detail/20260731-001291.html
