公表日,契約番号,件名,営業種目,履行期間,契約方法
令和8年8月17日,08-00149,【電子】 環境現況調査委託その２（８北南－関戸橋）,環境関係業務,契約確定の日の翌日から令和9年10月29日まで,希望制指名競争入札
令和8年8月17日,08-00141,【電子】 非木造建物等積算委託 用地一の3【国分寺3・4・11（東元町）ほか1 路線】,市場・補償鑑定関係調査業務,契約確定の日の翌日から令和9年1月22日まで,希望制指名競争入札
令和8年8月17日,08-10156,【電子】 令和８年度都立公園橋梁定期点検調査委託,土木・水系関係調査業務,契約確定の日の翌日から令和9年2月12日まで,希望制指名競争入札
令和8年8月17日,08-00585,【電子】 令和８年度第１回廃棄水道メータの売却（多摩） ※本案件は、8月24日 13時58分付で取り下げました。,不用品買受,特記仕様書のとおり,希望制指名競争入札
令和8年8月17日,08-31329,【電子】 警視庁本部庁舎水再利用設備改修基本計画その２,都市計画・交通等計画業務,契約確定の日の翌日から令和9年3月12日まで,希望制指名競争入札
令和8年8月10日,08-20179,【電子】 端末装置15種の借入れ,賃貸業務,令和9年3月1日から令和14年2月29日まで（地方自治法第234条の３の規定による長期継続契約）,一般競争入札（長期継続契約）
令和8年8月10日,08-20182,【電子】 画像伝送システムの借入れ,賃貸業務,令和9年3月1日から令和14年2月29日まで（地方自治法第234条の３の規定による長期継続契約）,一般競争入札（長期継続契約）
令和8年8月10日,08-20183,【電子】 録音・録画装置（設置型）の買入れ,通信用機械器具類,令和９年２月26日,一般競争入札
令和8年8月10日,08-20995,【電子】 手袋（救助活動用）５点の買入れ（集合）,繊維・ゴム・皮革製品,令和9年3月12日,一般競争入札
令和8年8月10日,08-21001,【電子】 無線機（携帯無線機・４００MHz帯用）外３点の買入れ（集合）,通信用機械器具類,令和9年2月26日,一般競争入札
令和8年8月10日,08-21008,【電子】 防護衣２点の買入れ,警察・消防・防災用品,令和9年2月26日,一般競争入札
令和8年8月5日,08-21101,【電子】 救急患者損失医療費補てん審査、修正及び入力業務委託（単価契約） ※本案件は、8月19日 8時48分付で取り下げました。,医事業務,契約確定の日の翌日から令和9年3月31日まで,希望制指名競争入札
令和8年8月4日,08-00107,【電子】 東京都西部公園緑地事務所新庁舎警備委託 ※本案件は、8月20日 13時06分付で取り下げました。令和8年8月24日 に再公表する予定です。,警備・受付,令和8年10月1日から令和13年3月31日まで,希望制指名競争入札
令和8年8月3日,08-06016,【電子】 「SusHi Tech Tokyo」の広告検討及び実施業務委託,広告代理,契約確定の日の翌日から令和9年8月31日まで,一般競争入札（総合評価方式）
令和8年8月3日,08-08024,【電子】 海外ＩＲ支援事業に係る業務の企画・運営業務委託,事務支援,契約確定の日の翌日から令和9年3月31日まで,一般競争入札（総合評価方式）
令和8年8月3日,08-00068,【電子】 上平井水門外２か所耐震・耐水化事業紹介映像制作委託,映像等製作,契約確定の日の翌日から令和9年2月1日まで,希望制指名競争入札
令和8年8月3日,08-00169,【電子】 令和８年度移転資金貸付金収納等委託（単価契約）その４,事務支援,契約確定の日の翌日から令和9年3月31日まで,希望制指名競争入札
令和8年8月3日,08-00172,【電子】 令和８年度 東京における航空機能に関する調査委託（横田離着陸実態）,都市計画・交通等計画業務,契約確定の日の翌日から令和9年2月26日まで,希望制指名競争入札
令和8年8月3日,08-00173,【電子】 令和８年度歩行者を中心とした道路空間の活用推進調査委託,都市計画・交通等計画業務,契約確定の日の翌日から令和9年3月12日まで,希望制指名競争入札
令和8年8月3日,08-00175,【電子】 高齢者、障害者等の建築物等の利用状況等に関する調査委託（その２）,都市計画・交通等計画業務,契約確定の日の翌日から令和9年3月19日まで,希望制指名競争入札
令和8年8月3日,08-00176,【電子】 令和８年度再配達削減のための動画制作及び広告配信等業務委託,広告代理,契約確定の日の翌日から令和9年3月15日まで,希望制指名競争入札
令和8年8月3日,08-00180,【電子】 令和８年度スマートサービス普及体験イベント開催等委託,催事関係業務,契約確定の日の翌日から令和9年2月26日まで,希望制指名競争入札
令和8年8月3日,08-00183,【電子】 「都市づくりのグランドデザイン改定（仮称）」レイアウト業務委託,印刷,契約確定の日の翌日から令和9年3月12日まで,希望制指名競争入札(総合評価方式)
令和8年8月3日,08-00327,【電子】 三宅村厚木沢南支川第一沢砂防基本計画策定のための検討委託,土木・水系関係調査業務,契約確定の日の翌日から令和9年3月15日まで,希望制指名競争入札
令和8年8月3日,08-00329,【電子】 水辺のエリアマネジメントに向けた仕組み検討委託（隅田川築地地区）,都市計画・交通等計画業務,契約確定の日の翌日から令和9年3月19日まで,希望制指名競争入札
令和8年8月3日,08-00330,【電子】 建物等調査委託【補助第94号線（不忍通り）外】（単価契約）,市場・補償鑑定関係調査業務,契約確定の日の翌日から令和8年12月3日まで,希望制指名競争入札
令和8年8月3日,08-00336,【電子】 建物等調査及び非木造建物等積算委託【補助第26号線（千早）外】（単価契約）,市場・補償鑑定関係調査業務,契約確定の日の翌日から令和9年1月22日まで,希望制指名競争入札
令和8年8月3日,08-00338,【電子】 令和８年度 事故危険箇所に関する調査委託,都市計画・交通等計画業務,契約確定の日の翌日から令和9年6月30日まで,希望制指名競争入札
令和8年8月3日,08-00351,【電子】 東京都北多摩北部建設事務所（８）改修工事基本計画,都市計画・交通等計画業務,契約確定の日の翌日から令和9年3月17日まで,希望制指名競争入札
令和8年8月3日,08-00352,【電子】 令和８年度建設局業務継続マネジメント（BCM）支援業務委託,都市計画・交通等計画業務,契約確定の日の翌日から令和9年3月10日まで,希望制指名競争入札
令和8年8月3日,08-00087,【電子】 街路樹冬期剪定委託（8港）その1,樹木・緑地等保護,契約確定の日の翌日から令和8年11月30日まで,希望制指名競争入札
令和8年8月3日,08-00088,【電子】 街路樹冬期剪定委託（8港）その2,樹木・緑地等保護,契約確定の日の翌日から令和8年11月30日まで,希望制指名競争入札
令和8年8月3日,08-00125,【電子】 橋梁塗膜有害物質調査委託(二建),土木・水系関係調査業務,契約確定の日の翌日から令和9年1月29日まで,希望制指名競争入札
令和8年8月3日,08-00126,【電子】 日常点検(一般橋)調査委託(二建),土木・水系関係調査業務,契約確定の日の翌日から令和9年2月19日まで,希望制指名競争入札
令和8年8月3日,08-00129,【電子】 積算委託(補82・補133),市場・補償鑑定関係調査業務,契約確定の日の翌日から令和8年12月18日まで,希望制指名競争入札
令和8年8月3日,08-00104,【電子】 東京都西部公園緑地事務所新庁舎警備委託 ※本案件は、8月3日 15時34分付で取り下げました。,警備・受付,令和8年10月1日から令和13年3月31日まで,希望制指名競争入札
令和8年8月3日,08-00142,【電子】 街路樹診断委託（８西の１）単価契約 ※訂正履歴あり,環境関係業務,契約確定の日の翌日から令和9年2月26日まで,希望制指名競争入札
令和8年8月3日,08-00096,【電子】 建物等調査委託（用地－２）八王子３・３・10（単価契約）,市場・補償鑑定関係調査業務,契約確定の日の翌日から令和8年11月20日まで,希望制指名競争入札
令和8年8月3日,08-00123,【電子】 街路樹診断委託（８北北の１）単価契約,樹木・緑地等保護,契約確定の日の翌日から令和9年2月19日まで,希望制指名競争入札
令和8年8月3日,08-00127,【電子】 北多摩北部建設事務所管内河床清掃委託,道路・公園等管理,契約確定の日の翌日から令和9年2月22日まで,希望制指名競争入札
令和8年8月3日,08-00179,【電子】 令和８年度芝浦排水機場外２か所天井走行クレーン性能点検整備委託,電気・暖冷房等設備保守,契約確定の日の翌日から令和9年1月29日まで,希望制指名競争入札
令和8年8月3日,08-00052,【電子】 令和８年度 東京都第二市街地整備事務所庁舎植栽維持管理委託,樹木・緑地等保護,契約確定の日の翌日から令和9年3月12日まで,希望制指名競争入札
令和8年8月3日,08-20162,【電子】 電動スクーターの買入れ,自動車・自転車,令和９年２月26日,一般競争入札
令和8年8月3日,08-20173,【電子】 防寒服第一種外２種の買入れ,繊維・ゴム・皮革製品,仕様書による。,一般競争入札
令和8年8月3日,08-20177,【電子】 携帯電話等抑止装置外１種の借入れ,賃貸業務,令和9年2月1日から令和14年1月31日まで（地方自治法第234条の３の規定による長期継続契約）,一般競争入札（長期継続契約）
令和8年8月3日,08-20178,【電子】 特種用途自動車(交通事故処理車）の買入れ,自動車・自転車,令和９年３月19日,一般競争入札
令和8年8月3日,08-20180,【電子】 ＤＮＡ/ＲＮＡ抽出試薬外209種の買入れ単価契約 ※訂正履歴あり,理化学機械器具,令和8年10月1日から令和8年12月28日まで,一般競争入札
令和8年8月3日,08-00212,【電子】 令和８年度街路樹臨時調査委託,環境関係業務,契約確定の日の翌日から令和9年2月26日まで,希望制指名競争入札
令和8年8月3日,08-00227,【電子】 複写サービスに関する契約（港南庁舎）（単価契約）,事務支援,令和8年10月1日から令和11年9月30日まで（地方自治法第234条の３の規定による長期継続契約）,希望制指名競争入札（長期継続契約）
令和8年7月27日,08-02039,【電子】 OpenRoaming対応公衆Wi-Fi環境の構築及び運用業務委託（東京体育館）,通信施設保守,契約確定の日の翌日から令和9年3月31日まで,一般競争入札（総合評価方式）
令和8年7月27日,08-02040,【電子】 OpenRoaming対応公衆Wi-Fi環境の構築及び運用業務委託（武蔵野の森総合スポーツプラザ）,通信施設保守,契約確定の日の翌日から令和9年3月31日まで,一般競争入札（総合評価方式）
令和8年7月27日,08-00064,【電子】 事業概要及び測量説明会会場設営等委託（８五－補138）,催事関係業務,契約確定の日の翌日から令和9年1月20日まで,希望制指名競争入札
令和8年7月27日,08-00070,【電子】 自転車通行空間整備に関する交通量調査委託（８五－１）,市場・補償鑑定関係調査業務,契約確定の日の翌日から令和9年2月8日まで,希望制指名競争入札
令和8年7月27日,08-00156,【電子】 管球類の買入れ,家電・カメラ・厨房機器等,令和8年11月27日,希望制指名競争入札
令和8年7月27日,08-00157,【電子】 ロールフィルターの買入れ,産業用機械器具類,令和8年10月16日,希望制指名競争入札
令和8年7月27日,08-00160,【電子】 緑の質に関する調査委託,都市計画・交通等計画業務,契約確定の日の翌日から令和9年3月12日まで,希望制指名競争入札
令和8年7月27日,08-00164,【電子】 令和８年度東京都選定歴史的建造物魅力発信業務委託,広告代理,契約確定の日の翌日から令和9年3月19日まで,希望制指名競争入札
令和8年7月27日,08-00156,【電子】 令和８年度都立公園橋梁定期点検調査委託 ※本案件は、8月6日 17時00分付で取り下げました。,検査業務,契約確定の日の翌日から令和9年2月12日まで,希望制指名競争入札
令和8年7月24日,08-00019,【電子】 東京都水道局北営業所什器等運搬委託（その２） ※本案件は、8月21日 9時51分付で取り下げました。,運送等請負,契約確定の日の翌日から令和8年9月30日まで,希望制指名競争入札
令和8年7月21日,08-00144,【電子】 青山霊園再生事業物件調査委託（単価契約）,市場・補償鑑定関係調査業務,契約確定の日の翌日から令和9年1月15日まで,希望制指名競争入札
令和8年7月21日,08-00168,【電子】 令和８年度大井中央陸橋低濃度PCB廃棄物収集運搬・処分委託（その１）,廃棄物処理,契約確定の日の翌日から令和8年12月18日まで,希望制指名競争入札
令和8年7月21日,08-00169,【電子】 令和８年度第二航路海底トンネル電気防食長寿命化に伴う航行船舶実態等調査委託,都市計画・交通等計画業務,契約確定の日の翌日から令和9年3月19日まで,希望制指名競争入札
令和8年7月21日,08-31291,【電子】 警視庁有家族者待機寮三軒茶屋住宅改築基本計画,都市計画・交通等計画業務,契約確定の日の翌日から令和9年2月26日まで,希望制指名競争入札
令和8年7月21日,08-31300,【電子】 警視庁碑文谷警察署庁舎改築基本計画,都市計画・交通等計画業務,契約確定の日の翌日から令和9年3月12日まで,希望制指名競争入札
令和8年7月13日,08-04024,【電子】 ＬＥＤ照明器具の借入れ(都立葛飾野高等学校外７校) ※本案件は、8月25日 17時22分付で取り下げました。,賃貸業務,令和9年3月1日から令和18年3月31日まで（地方自治法第234条の３の規定による長期継続契約）,一般競争入札（長期継続契約）
令和8年7月13日,08-04025,【電子】 ＬＥＤ照明器具の借入れ(都立上野高等学校外６校) ※本案件は、8月25日 17時23分付で取り下げました。,賃貸業務,令和9年3月1日から令和18年3月31日まで（地方自治法第234条の３の規定による長期継続契約）,一般競争入札（長期継続契約）
令和8年7月13日,08-04026,【電子】 ＬＥＤ照明器具の借入れ(都立総合芸術高等学校外６校) ※本案件は、8月25日 17時24分付で取り下げました。,賃貸業務,令和9年3月1日から令和18年3月31日まで（地方自治法第234条の３の規定による長期継続契約）,一般競争入札（長期継続契約）
令和8年7月13日,08-04027,【電子】 ＬＥＤ照明器具の借入れ(都立三田高等学校外７校) ※本案件は、8月25日 17時25分付で取り下げました。,賃貸業務,令和9年3月1日から令和18年3月31日まで（地方自治法第234条の３の規定による長期継続契約）,一般競争入札（長期継続契約）
令和8年7月13日,08-04028,【電子】 ＬＥＤ照明器具の借入れ(都立桜町高等学校外４校) ※本案件は、8月25日 17時25分付で取り下げました。,賃貸業務,令和9年3月1日から令和13年3月31日まで（地方自治法第234条の３の規定による長期継続契約）,一般競争入札（長期継続契約）
令和8年7月13日,08-00050,【電子】 新中川護岸耐震補強工事（その22）外１件に伴う家屋事後調査委託,市場・補償鑑定関係調査業務,契約確定の日の翌日から令和8年11月13日まで,希望制指名競争入札
令和8年7月13日,08-00165,【電子】 令和８年度城南大橋（北）性能照査委託,土木・水系関係調査業務,契約確定の日の翌日から令和9年3月12日まで,希望制指名競争入札
令和8年7月13日,08-31267,【電子】 警視庁単身者待機寮碑文谷警察署富士見寮改築ほか基本計画,都市計画・交通等計画業務,契約確定の日の翌日から令和9年2月26日まで,希望制指名競争入札
令和8年7月13日,08-31271,【電子】 警視庁渋谷警察署大規模改修基本計画その２,都市計画・交通等計画業務,契約確定の日の翌日から令和9年5月31日まで,希望制指名競争入札
令和8年7月6日,08-00157,【電子】 令和８年度直営維持しゅんせつ工事警戒業務委託（その２）（単価契約）,その他の業務委託等,令和8年9月28日から令和9年3月31日まで,希望制指名競争入札
令和8年7月6日,08-00039,【電子】 都営文花一丁目団地（第４期）埋蔵文化財試掘調査,環境関係業務,契約確定の日の翌日から35日間,希望制指名競争入札
令和8年7月1日,08-00097,【電子】 都市の３Ｄデジタルマップ化に向けた基礎調査委託,航空写真・図面製作,契約確定の日の翌日から令和9年3月12日まで,希望制指名競争入札(総合評価方式)
