都道府県,案件名,URL
福島県,【質問の回答掲載】「2027国際園芸博覧会への福島県出展業務委託」に係る公募型プロポーザル方式による業務受託者の募集について,https://www.pref.fukushima.lg.jp/sec/36035c/2027engeihaku-kohbo.html
福岡県,【企画提案公募】2027年国際園芸博覧会屋内出展作品に係る設計・施工・維持管理業務委託事業者を募集します,https://www.pref.fukuoka.lg.jp/contents/engei-hana.html
宮崎県,2027年国際園芸博覧会屋外出展業務委託に係る企画提案競技の結果について,https://www.pref.miyazaki.lg.jp/utsukushii/kense/chotatsu/20260706125941.html
鹿児島県,2027年国際園芸博覧会（GREEN×EXPO2027）鹿児島県屋内出展業務委託の企画提案を募集します,https://www.pref.kagoshima.jp/ag06/hanakaju/greenexpo.html
