検出日,発注機関,都道府県,分類,tier,関連度,一致語,案件名,URL,調達ページ,ドメイン
2026-08-21,（公財）東京都中小企業振興公社,東京,都道府県等中小企業支援センター,tier_a,4,パビリオン/展示会/運営,令和8年度 東京都中小企業振興公社パビリオン展示会運営業務委託(CEATEC2026 ／ スマートファクトリーJapan2026)（令和8年5月7日 令和8年5月7日9:00～ 令和8年5月15日14:00）,http://www.tokyo-kosha.or.jp/kosha/keiyaku/,http://www.tokyo-kosha.or.jp/kosha/keiyaku/,tokyo-kosha.or.jp
2026-08-21,宮城県庁,宮城,自治体本体（都道府県）,tier_a,3,工芸/販路,令和8年度宮城県県産工芸品欧州販路開拓支援業務の企画提案を募集します,https://www.pref.miyagi.jp/soshiki/kokusaibiz/r8kougeihin/kikakuteian.html,https://www.pref.miyagi.jp/life/8/40/,pref.miyagi.jp
2026-08-21,山形県庁,山形,自治体本体（都道府県）,tier_a,3,プロモーション/観光/文化,【観光文化スポーツ部観光プロモーション課】韓国市場における二次交通を活用した県内広域周遊促進事業業務委託に係る企画提案の募集について（参加申込期限:令和8年8月26日（水曜日）、企画提案書提出期限:令和8年8月28日（金曜日）,https://www.pref.yamagata.jp/110017/20260731.html,https://www.pref.yamagata.jp/kensei/nyuusatsujouhou/nyuusatsujouhou/proposal/index.html,pref.yamagata.jp
2026-08-21,山形県庁,山形,自治体本体（都道府県）,tier_a,3,プロモーション/観光/文化,【観光文化スポーツ部観光交流拡大課】令和8年度山形県最上・庄内エリア山岳魅力発信プロモーション業務に係る企画提案の募集（参加申込期限:令和8年3月30日（月曜日）、企画提案期限:令和8年4月13日（月曜日）,https://www.pref.yamagata.jp/110017/r8sangaku.html,https://www.pref.yamagata.jp/kensei/nyuusatsujouhou/nyuusatsujouhou/proposal/index.html,pref.yamagata.jp
2026-08-21,山形県庁,山形,自治体本体（都道府県）,tier_a,3,国際/文化/運営,【みらい企画創造部多文化共生・国際交流推進課】令和８年度「山形県外国人材採用支援デスク」運営業務委託に関する企画提案の募集（参加申込期限：令和８年３月３、企画提案書提出期限：令和８年３月10日）,https://www.pref.yamagata.jp/020040/deskpropo.html,https://www.pref.yamagata.jp/kensei/nyuusatsujouhou/nyuusatsujouhou/proposal/index.html,pref.yamagata.jp
2026-08-21,（公財）三重県産業支援センター,三重,都道府県等中小企業支援センター,tier_a,3,海外展開/海外,令和８年度中小企業等海外展開支援事業費補助金（海外出願支援事業）を交付決定しました,http://www.miesc.or.jp/support/contents/1586/,http://www.miesc.or.jp/#jmp_compe,miesc.or.jp
2026-08-21,独立行政法人日本貿易振興機構（JETRO）,,国の外郭団体,tier_a,2,海外/運営,海外赴帰任サポートデスク運営並びに海外赴帰任における航空券の調達及び附帯サービスの提供,https://www.jetro.go.jp/procurement/bid/hra/09e0811590343b4c.html,https://www.jetro.go.jp/procurement/,jetro.go.jp
2026-08-21,内閣府沖縄総合事務局,,地方支分部局,tier_a,2,観光/運営,沖縄地区広域連携観光戦略会議開催にかかる運営等委託事業,https://www.ogb.go.jp/-/media/Files/OGB/Soumu/choutatu/futan2/03R5/080626-koukoku-kaigiunei.pdf,https://www.ogb.go.jp/soumu/soumu_tyouta,ogb.go.jp
2026-08-21,内閣府沖縄総合事務局,,地方支分部局,tier_a,2,観光/運営,沖縄地区広域連携観光戦略会議運営にかかる運営等委託事業,https://www.ogb.go.jp/-/media/Files/OGB/Soumu/choutatu/futan2/03R5/080715-koubokekka-kaigiunei.pdf,https://www.ogb.go.jp/soumu/soumu_tyouta,ogb.go.jp
2026-08-21,さいたま市,埼玉,自治体本体（政令市）,tier_a,2,インバウンド,【最優秀提案者を決定しました】さいたま市インバウンド促進業務 企画提案の募集について,https://www.city.saitama.lg.jp/005/001/017/012/p130442.html,https://www.city.saitama.lg.jp/005/001/017/index.html,city.saitama.lg.jp
2026-08-21,堺市,大阪,自治体本体（政令市）,tier_a,2,文化/運営,（令和8年8月17日公表）堺市立中学校地域クラブ活動管理運営業務（文化部）に係る一般競争入札を実施（学校保健体育課）,https://www.city.sakai.lg.jp/kosodate/kyoiku/boshu/nyusatsu/bunkabu.html,https://www.city.sakai.lg.jp/boshu/index.html,city.sakai.lg.jp
2026-08-21,和歌山県庁,和歌山,自治体本体（都道府県）,tier_a,2,ブランド/運営,【5/19審査結果追記しました】令和8年度和歌山県産ブランド和牛取扱飲食店応援イベントフェア企画運営業務委託に係る公募型プロポーザルの実施について,https://www.pref.wakayama.lg.jp/prefg/070400/d00222043.html,https://www.pref.wakayama.lg.jp/whatsnew/nyusatsu.html,pref.wakayama.lg.jp
2026-08-21,和歌山県庁,和歌山,自治体本体（都道府県）,tier_a,2,国際/輸出,令和7年度「和歌山県産青果物に関する輸出コスト構造分析と国際比較調査」業務委託に係る公募型プロポーザルの実施について【公募終了】,https://www.pref.wakayama.lg.jp/prefg/071700/kaigai/d00220438.html,https://www.pref.wakayama.lg.jp/whatsnew/nyusatsu.html,pref.wakayama.lg.jp
2026-08-21,和歌山県庁,和歌山,自治体本体（都道府県）,tier_a,2,ブランド/運営,【審査結果掲載しました】令和7年度和歌山県産ブランド和牛取扱飲食店応援イベントフェア企画運営業務委託に係る公募型プロポーザルの実施について,https://www.pref.wakayama.lg.jp/prefg/070400/d00219923.html,https://www.pref.wakayama.lg.jp/whatsnew/nyusatsu.html,pref.wakayama.lg.jp
2026-08-21,和歌山県庁,和歌山,自治体本体（都道府県）,tier_a,2,インバウンド,「令和3年度インバウンド下見旅行等包括的手配業務委託」に係る条件付き一般競争入札の実施について,https://www.pref.wakayama.lg.jp/prefg/062500/d00206739.html,https://www.pref.wakayama.lg.jp/whatsnew/nyusatsu.html,pref.wakayama.lg.jp
2026-08-21,和歌山県庁,和歌山,自治体本体（都道府県）,tier_a,2,県産品/運営,令和3年度県産品ポータルサイト企画・構築及び管理運営業務委託に係る公募型プロポーザル審査会における審査結果について,https://www.pref.wakayama.lg.jp/prefg/071700/d00206710.html,https://www.pref.wakayama.lg.jp/whatsnew/nyusatsu.html,pref.wakayama.lg.jp
2026-08-21,和歌山県庁,和歌山,自治体本体（都道府県）,tier_a,2,ブランド/運営,【5/19審査結果追記しました】令和8年度和歌山県産ブランド和牛取扱飲食店応援イベントフェア企画運営業務委託に係る公募型プロポーザルの実施について（令和8年5月19日）,https://www.pref.wakayama.lg.jp/whatsnew/nyusatsu.html,https://www.pref.wakayama.lg.jp/whatsnew/nyusatsu.html,pref.wakayama.lg.jp
2026-08-21,和歌山県庁,和歌山,自治体本体（都道府県）,tier_a,2,国際/輸出,令和7年度「和歌山県産青果物に関する輸出コスト構造分析と国際比較調査」業務委託に係る公募型プロポーザルの実施について【公募終了】（令和7年8月27日）,https://www.pref.wakayama.lg.jp/whatsnew/nyusatsu.html,https://www.pref.wakayama.lg.jp/whatsnew/nyusatsu.html,pref.wakayama.lg.jp
2026-08-21,和歌山県庁,和歌山,自治体本体（都道府県）,tier_a,2,ブランド/運営,【審査結果掲載しました】令和7年度和歌山県産ブランド和牛取扱飲食店応援イベントフェア企画運営業務委託に係る公募型プロポーザルの実施について（令和7年5月15日）,https://www.pref.wakayama.lg.jp/whatsnew/nyusatsu.html,https://www.pref.wakayama.lg.jp/whatsnew/nyusatsu.html,pref.wakayama.lg.jp
2026-08-21,和歌山県庁,和歌山,自治体本体（都道府県）,tier_a,2,インバウンド,「令和3年度インバウンド下見旅行等包括的手配業務委託」に係る条件付き一般競争入札の実施について（令和3年2月25日）,https://www.pref.wakayama.lg.jp/whatsnew/nyusatsu.html,https://www.pref.wakayama.lg.jp/whatsnew/nyusatsu.html,pref.wakayama.lg.jp
2026-08-21,和歌山県庁,和歌山,自治体本体（都道府県）,tier_a,2,県産品/運営,令和3年度県産品ポータルサイト企画・構築及び管理運営業務委託に係る公募型プロポーザル審査会における審査結果について（令和3年2月22日）,https://www.pref.wakayama.lg.jp/whatsnew/nyusatsu.html,https://www.pref.wakayama.lg.jp/whatsnew/nyusatsu.html,pref.wakayama.lg.jp
2026-08-21,山形県庁,山形,自治体本体（都道府県）,tier_a,2,国際/文化,【みらい企画創造部多文化共生・国際交流推進課】令和8年度「山形県国際協力活動推進事業（渡航手配・交流等企画）」業務委託に関する企画提案の募集（参加申込期限：令和8年6月9日、企画提案書提出期限：令和8年6月19日）,https://www.pref.yamagata.jp/020040/20260514.html,https://www.pref.yamagata.jp/kensei/nyuusatsujouhou/nyuusatsujouhou/proposal/index.html,pref.yamagata.jp
2026-08-21,山形県庁,山形,自治体本体（都道府県）,tier_a,2,国際/文化,【みらい企画創造部多文化共生・国際交流推進課】「“世界はとなり”やまがたフェス2026（仮称）」開催業務委託に関する企画提案の募集（参加申込期限：令和８年５月１４日、企画提案書提出期限：令和８年５月２１日）,https://www.pref.yamagata.jp/020040/tabunka_fes/20260421.html,https://www.pref.yamagata.jp/kensei/nyuusatsujouhou/nyuusatsujouhou/proposal/index.html,pref.yamagata.jp
2026-08-21,山形県庁,山形,自治体本体（都道府県）,tier_a,2,輸出/販路,【農産物販路開拓・輸出推進課】令和８年度マレーシアにおける実需連動型伴走支援事業業務委託公募型プロポーザル方式による企画提案の募集,https://www.pref.yamagata.jp/140031/2025zitsuzyurenndougatabannsousiennzigyou.html,https://www.pref.yamagata.jp/kensei/nyuusatsujouhou/nyuusatsujouhou/proposal/index.html,pref.yamagata.jp
2026-08-21,静岡県庁,静岡,自治体本体（都道府県）,tier_a,2,観光/文化,入札・業務委託・プロポーザル等（スポーツ・文化観光部）,https://www.pref.shizuoka.jp/kensei/nyusatsukobai/nyusatsusports/index.html,https://www.pref.shizuoka.jp/kensei/nyusatsukobai/index.html,pref.shizuoka.jp
2026-08-21,（公財）にいがた産業創造機構,新潟,都道府県等中小企業支援センター,tier_a,2,県産品/バイヤー,更新 2025年12月03日 【審査結果】令和７年度：バイヤー向け県産品紹介WEBサイト制作業務委託 公募型プロポーザル 最優秀提案者を決定しました。,https://www.nico.or.jp/nyusatsu/83944/,https://www.nico.or.jp/newslist_1/?c=nyusatsu,nico.or.jp
2026-08-21,（公財）にいがた産業創造機構,新潟,都道府県等中小企業支援センター,tier_a,2,県産品/バイヤー,受付終了 2025年11月12日 令和７年度：バイヤー向け県産品紹介ＷＥＢサイト制作業務委託に係るプロポーザル参加者募集に関する質問について 受付終了しました。,https://www.nico.or.jp/mokuteki/sinjigyo/83756/,https://www.nico.or.jp/newslist_1/?c=nyusatsu,nico.or.jp
2026-08-21,（公財）にいがた産業創造機構,新潟,都道府県等中小企業支援センター,tier_a,2,県産品/バイヤー,受付終了 2025年11月04日 令和７年度：バイヤー向け県産品紹介ＷＥＢサイト制作業務委託 プロポーザル参加者募集,https://www.nico.or.jp/mokuteki/sinjigyo/83596/,https://www.nico.or.jp/newslist_1/?c=nyusatsu,nico.or.jp
2026-08-21,（公財）にいがた産業創造機構,新潟,都道府県等中小企業支援センター,tier_a,2,物産/運営,受付終了 2023年06月29日 新たな新潟県首都圏情報発信拠点の「物産販売店舗等運営事業者」を募集します 質問に対する回答を掲載しました。（６月29日）,https://www.nico.or.jp/nyusatsu/65611/,https://www.nico.or.jp/newslist_1/?c=nyusatsu,nico.or.jp
2026-08-21,（公財）にいがた産業創造機構,新潟,都道府県等中小企業支援センター,tier_a,2,物産/運営,受付終了 2023年06月07日 新たな新潟県首都圏情報発信拠点の「物産販売店舗等運営事業者」「飲食店舗運営事業者」「実施設計・施工工事事業者」の公募を開始します 公募を開始します。,https://www.nico.or.jp/nyusatsu/65757/,https://www.nico.or.jp/newslist_1/?c=nyusatsu,nico.or.jp
2026-08-21,（公財）東京都中小企業振興公社,東京,都道府県等中小企業支援センター,tier_a,2,プロモーション/運営,創業支援拠点（丸の内）・（多摩）の設置・運営事業 生成 AI を活用した映像コンテンツ制作及び鉄道・エリア連動型デジタルプロモーション業務委託（令和8年8月18日 令和8年8月18日9:00～ 令和8年8月26日14:00）,http://www.tokyo-kosha.or.jp/kosha/keiyaku/,http://www.tokyo-kosha.or.jp/kosha/keiyaku/,tokyo-kosha.or.jp
2026-08-21,（公財）東京都中小企業振興公社,東京,都道府県等中小企業支援センター,tier_a,2,商談会/運営,令和8年度中小企業ニューマーケット開拓支援事業 新技術・新工法展示商談会運営業務委託（令和8年7月23日 令和8年7月23日9:00～ 令和8年7月31日14:00）,http://www.tokyo-kosha.or.jp/kosha/keiyaku/,http://www.tokyo-kosha.or.jp/kosha/keiyaku/,tokyo-kosha.or.jp
2026-08-21,（公財）東京都中小企業振興公社,東京,都道府県等中小企業支援センター,tier_a,2,海外/運営,令和8年度「海外企業とのイノベーション創出支援事業」に係る東京展開セミナー運営業務委託(マレーシア)（令和8年7月16日 令和8年7月16日9:00～ 令和8年7月27日14:00）,http://www.tokyo-kosha.or.jp/kosha/keiyaku/,http://www.tokyo-kosha.or.jp/kosha/keiyaku/,tokyo-kosha.or.jp
2026-08-21,（公財）東京都中小企業振興公社,東京,都道府県等中小企業支援センター,tier_a,2,海外/運営,令和8年度「海外ビジネス・チャレンジ塾(外国人編)」実施に係る企画・運営等業務委託（令和8年6月1日 令和8年6月1日9:00～ 令和8年6月10日14:00）,http://www.tokyo-kosha.or.jp/kosha/keiyaku/,http://www.tokyo-kosha.or.jp/kosha/keiyaku/,tokyo-kosha.or.jp
2026-08-21,（公財）東京都中小企業振興公社,東京,都道府県等中小企業支援センター,tier_a,2,海外/運営,令和8年度「海外ビジネス・チャレンジ塾」(入門者編/経験者編)実施に係る企画・運営等業務委託（令和8年6月1日 令和8年6月1日9:00～ 令和8年6月10日14:00）,http://www.tokyo-kosha.or.jp/kosha/keiyaku/,http://www.tokyo-kosha.or.jp/kosha/keiyaku/,tokyo-kosha.or.jp
2026-08-21,（公財）石川県産業創出支援機構,石川,都道府県等中小企業支援センター,tier_a,2,工芸,中国・重慶で開催する北陸3県工芸品フェアへの出品事業者を募集（石川県 締切：R8.8.28）,https://www.isico.or.jp/support/dgnet/d41196846.html,https://www.isico.or.jp/support/,isico.or.jp
2026-08-21,（公財）石川県産業創出支援機構,石川,都道府県等中小企業支援センター,tier_a,2,工芸,中国・重慶で開催する北陸3県工芸品フェアへの出品事業者を募集（石川県 締切：R8.8.28）（申込締切：令和8年8月28日(金曜日) 正午）,https://www.isico.or.jp/support/,https://www.isico.or.jp/support/,isico.or.jp
2026-08-21,一般財団法人自治体国際化協会（CLAIR）,,国の外郭団体,tier_a,1,国際,令和８年度国際協力推進セミナー（7月29日）参加者の募集を開始します！,https://www.clair.or.jp/j/cooperation/ngo/729.html,https://www.clair.or.jp/index-news.html,clair.or.jp
2026-08-21,一般財団法人自治体国際化協会（CLAIR）,,国の外郭団体,tier_a,1,文化,『令和８年度豪州多文化主義政策交流プログラム』への参加者の募集を開始しました。,https://www.clair.or.jp/j/multiculture/jiam/page.html,https://www.clair.or.jp/index-news.html,clair.or.jp
2026-08-21,一般財団法人自治体国際化協会（CLAIR）,,国の外郭団体,tier_a,1,国際,令和6年度国際協力推進セミナー（7月30日）参加者の募集を開始します！,https://www.clair.or.jp/j/cooperation/ngo/730.html,https://www.clair.or.jp/index-news.html,clair.or.jp
2026-08-21,一般財団法人自治体国際化協会（CLAIR）,,国の外郭団体,tier_a,1,国際,令和５年度国際協力推進セミナー（9月7日）参加者の募集を開始します！,https://www.clair.or.jp/j/cooperation/ngo/post-3.html,https://www.clair.or.jp/index-news.html,clair.or.jp
2026-08-21,一般財団法人自治体国際化協会（CLAIR）,,国の外郭団体,tier_a,1,国際,2月19日~2月20日開催（地域国際化協会国内研修）参加者募集!【対象：地域国際化協会、国際交流協会、自治体等の職員】,https://www.clair.or.jp/index-news.html,https://www.clair.or.jp/index-news.html,clair.or.jp
2026-08-21,独立行政法人国際交流基金,,国の外郭団体,tier_a,1,国際,令和8（2026）年度顕彰事業（国際交流基金賞及び国際交流基金地球市民賞）広報業務委託契約,https://www.jpf.go.jp/j/about/bid/result_p/2026/re_p_260807_1.html,https://www.jpf.go.jp/j/about/bid/,jpf.go.jp
2026-08-21,独立行政法人日本貿易振興機構（JETRO）,,国の外郭団体,tier_a,1,運営,「アジア経済研究所一般庶務運営業務」（2025年12月15日付公示）の入札公告の修正について,https://www.jetro.go.jp/procurement/notice/20251215.html,https://www.jetro.go.jp/procurement/,jetro.go.jp
2026-08-21,独立行政法人日本貿易振興機構（JETRO）,,国の外郭団体,tier_a,1,運営,「福岡スタートアップSingapore Challengeプログラム運営支援」（2025年7月30日付公示）の入札公告の修正について,https://www.jetro.go.jp/procurement/notice/20250822.html,https://www.jetro.go.jp/procurement/,jetro.go.jp
2026-08-21,さいたま市,埼玉,自治体本体（政令市）,tier_a,1,デザイン,【最優秀提案者を決定しました】さいたま市若者のライフデザイン形成支援業務 企画提案の募集について,https://www.city.saitama.lg.jp/005/001/017/001/p130140.html,https://www.city.saitama.lg.jp/005/001/017/index.html,city.saitama.lg.jp
2026-08-21,さいたま市,埼玉,自治体本体（政令市）,tier_a,1,運営,【受付終了】さいたま市大宮区役所区民生活部総務課所管大宮区役所キッチンカー（フードトラック）設置・運営事業者公募,https://www.city.saitama.lg.jp/005/001/017/001/p127234.html,https://www.city.saitama.lg.jp/005/001/017/index.html,city.saitama.lg.jp
