検出日,経路,検索語,関連度,一致語,案件名,URL
2026-08-21,jGrants,海外展示会 出展,5,海外展示会/海外/展示会/出展,令和８年度フィンテック企業に対する海外進出支援事業 海外展示会共同出展,https://www.jgrants-portal.go.jp/
2026-08-21,jGrants,海外展開 支援 業務委託,3,海外展開/海外,【島根県】令和8年度_中小企業等海外展開支援事業費補助金（海外出願支援事業）（第４回公募）,https://www.jgrants-portal.go.jp/
2026-08-21,jGrants,海外展開 支援 業務委託,3,海外展開/海外,【鳥取県】令和８年度_中小企業等海外展開支援事業費補助金（海外出願支援事業）（二次公募）,https://www.jgrants-portal.go.jp/
2026-08-21,jGrants,海外展開 支援 業務委託,3,海外展開/海外,【徳島県】令和８年度_中小企業等海外展開支援事業費補助金（海外出願支援事業）,https://www.jgrants-portal.go.jp/
2026-08-21,jGrants,海外展示会 出展,1,海外,令和８年度フィンテック企業に対する海外進出支援事業補助金,https://www.jgrants-portal.go.jp/
